"site_id","monitoring_id","date_time_out","net_type","amount_nets","species","scientific_name","species_name","maori_name","native/nonnative","taonga","amount","sex","length_mm","weight_g","soft_shelled","berried","youngs","cups","mL","notes"
96,"96_0",2024-12-12 11:45:00,"Fyke",2,"Kōura","Paranephrops planifrons","Freshwater_crayfish","Kōura","Native","Yes",1,"M",53,52,NA,NA,NA,NA,NA,NA
98,"98_0",2024-11-07 13:30:00,"Box",2,"Kōura","Paranephrops planifrons","Freshwater_crayfish","Kōura","Native","Yes",1,"M",48.77,NA,NA,NA,NA,NA,NA,NA
109,"109_0",2024-11-01 12:59:59.995,"Fyke",2,"Kōaro","Galaxias brevipinnis","Climbing_galaxias","Kōaro","Native","Yes",1,NA,120,24,NA,NA,NA,NA,NA,NA
109,"109_0",2024-11-01 12:59:59.995,"Fyke",2,"Kōaro","Galaxias brevipinnis","Climbing_galaxias","Kōaro","Native","Yes",1,NA,75,8,NA,NA,NA,NA,NA,NA
109,"109_0",2024-11-01 12:59:59.995,"Fyke",2,"Kōaro","Galaxias brevipinnis","Climbing_galaxias","Kōaro","Native","Yes",1,NA,70,4,NA,NA,NA,NA,NA,NA
109,"109_0",2024-11-01 12:59:59.995,"Fyke",2,"Bullies","Gobiomorphus cotidianus","Common_bully","Toitoi","Native","No",15,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,"99_0",2024-11-07 09:30:00,"Fyke",2,"Kōura","Paranephrops planifrons","Freshwater_crayfish","Kōura","Native","Yes",1,"M",48.33,87,NA,NA,NA,NA,NA,NA
98,"98_0",2024-11-07 13:30:00,"Box",2,"Kōura","Paranephrops planifrons","Freshwater_crayfish","Kōura","Native","Yes",1,"M",46.44,NA,NA,NA,NA,NA,NA,NA
103,"103_0",2024-11-08 11:39:59.995,"Fyke",2,"Kōura","Paranephrops planifrons","Freshwater_crayfish","Kōura","Native","Yes",1,"F",46.16,NA,NA,1,NA,NA,NA,NA
119,"119_0",2024-11-01 09:30:00,"Box",2,"Kōura","Paranephrops planifrons","Freshwater_crayfish","Kōura","Native","Yes",1,"M",46,65,NA,NA,NA,NA,NA,NA
102,"102_0",2024-11-07 11:27:00,"Box",2,"Kōura","Paranephrops planifrons","Freshwater_crayfish","Kōura","Native","Yes",1,"F",45,56,NA,NA,NA,NA,NA,NA
