"site_id","monitoring_id","group","parameter","unit","value","notes"
61,"61_0","Physical","Shear_stress","m/s, degrees",NA,"need to be calculated from wind speed and wind direction"
61,"61_0","Physical","Bottom_visible","0/1","0",NA
61,"61_0","Physical","Water_clarity","m",NA,NA
61,"61_0","Physical","Depth_10m","m","0.6",NA
61,"61_0","Physical","Slope","degrees","0.06","Calculated from depth"
61,"61_0","Physical","Riparian_vegetation","%","50",NA
61,"61_0","Physical","Riparian_species",NA,"Native forest",NA
61,"61_0","Physical","Overhanging_trees","%","0",NA
61,"61_0","Physical","Erosion","%","0",NA
61,"61_0","Physical","Structure","0/1","0",NA
61,"61_0","Physical","Bedrock","%","0",NA
61,"61_0","Physical","Boulders","%","0",NA
61,"61_0","Physical","Cobble","%","0",NA
61,"61_0","Physical","Gravel","%","0",NA
61,"61_0","Physical","Sand","%","90",NA
61,"61_0","Physical","Mud","%","10",NA
61,"61_0","Physical","Organic_matter","%","0",NA
61,"61_0","Physical","Rock_size","mm",NA,NA
61,"61_0","Chemical","Temperature","Degree C","25.3",NA
61,"61_0","Chemical","DO_mgl","mg/l","5.25",NA
61,"61_0","Chemical","DO_percent","%","63.9",NA
61,"61_0","Chemical","Conductivity","µS/cm","445.8",NA
61,"61_0","Chemical","Specific_conductivity","µS/cm","443.00904302891786",NA
61,"61_0","Chemical","pH",NA,"3.78","Extreme low due to being in vulcanic zone (3.78) therfor replaced with the value from site 72 (7.19) as most nearby just to check"
61,"61_0","Habitat","Vegetation_nearby","0/1","0",NA
61,"61_0","Habitat","Vegetation_species",NA,NA,NA
61,"61_0","Habitat","Wood_cover","%","10",NA
61,"61_0","Habitat","Other",NA,NA,NA
62,"62_0","Physical","Shear_stress","m/s, degrees",NA,"need to be calculated from wind speed and wind direction"
62,"62_0","Physical","Bottom_visible","0/1","1",NA
62,"62_0","Physical","Water_clarity","m",NA,NA
62,"62_0","Physical","Depth_10m","m","1.7",NA
62,"62_0","Physical","Slope","degrees","0.16999999999999998","Calculated from depth"
62,"62_0","Physical","Riparian_vegetation","%","100",NA
62,"62_0","Physical","Riparian_species",NA,"Native forest",NA
62,"62_0","Physical","Overhanging_trees","%","100",NA
62,"62_0","Physical","Erosion","%","0",NA
62,"62_0","Physical","Structure","0/1","0",NA
62,"62_0","Physical","Bedrock","%","0",NA
62,"62_0","Physical","Boulders","%","40",NA
62,"62_0","Physical","Cobble","%","0",NA
62,"62_0","Physical","Gravel","%","0",NA
62,"62_0","Physical","Sand","%","60",NA
62,"62_0","Physical","Mud","%","0",NA
62,"62_0","Physical","Organic_matter","%","0",NA
62,"62_0","Physical","Rock_size","mm",NA,NA
62,"62_0","Chemical","Temperature","Degree C","22.9",NA
62,"62_0","Chemical","DO_mgl","mg/l","7.85",NA
62,"62_0","Chemical","DO_percent","%","91.3",NA
62,"62_0","Chemical","Conductivity","µS/cm","192.6",NA
62,"62_0","Chemical","Specific_conductivity","µS/cm","201.48551103671932",NA
62,"62_0","Chemical","pH",NA,"7.03",NA
62,"62_0","Habitat","Vegetation_nearby","0/1","0",NA
62,"62_0","Habitat","Vegetation_species",NA,NA,NA
62,"62_0","Habitat","Wood_cover","%","20",NA
62,"62_0","Habitat","Other",NA,NA,NA
63,"63_0","Physical","Shear_stress","m/s, degrees",NA,"need to be calculated from wind speed and wind direction"
63,"63_0","Physical","Bottom_visible","0/1","1",NA
63,"63_0","Physical","Water_clarity","m","3.4",NA
63,"63_0","Physical","Depth_10m","m","0.48",NA
63,"63_0","Physical","Slope","degrees","4.8000000000000001E-2","Calculated from depth"
63,"63_0","Physical","Riparian_vegetation","%","100",NA
63,"63_0","Physical","Riparian_species",NA,"Native forest",NA
63,"63_0","Physical","Overhanging_trees","%","100",NA
63,"63_0","Physical","Erosion","%","0",NA
63,"63_0","Physical","Structure","0/1","0",NA
63,"63_0","Physical","Bedrock","%","0",NA
63,"63_0","Physical","Boulders","%","10",NA
63,"63_0","Physical","Cobble","%","0",NA
63,"63_0","Physical","Gravel","%","0",NA
63,"63_0","Physical","Sand","%","90",NA
63,"63_0","Physical","Mud","%","0",NA
63,"63_0","Physical","Organic_matter","%","0",NA
63,"63_0","Physical","Rock_size","mm",NA,NA
63,"63_0","Chemical","Temperature","Degree C","22.4",NA
63,"63_0","Chemical","DO_mgl","mg/l","6.89",NA
63,"63_0","Chemical","DO_percent","%","79.3",NA
63,"63_0","Chemical","Conductivity","µS/cm","181.7",NA
63,"63_0","Chemical","Specific_conductivity","µS/cm","192.19378041040827",NA
63,"63_0","Chemical","pH",NA,"7.02",NA
63,"63_0","Habitat","Vegetation_nearby","0/1","1",NA
63,"63_0","Habitat","Vegetation_species",NA,"Elodea",NA
63,"63_0","Habitat","Wood_cover","%","3",NA
63,"63_0","Habitat","Other",NA,NA,NA
64,"64_0","Physical","Shear_stress","m/s, degrees",NA,"need to be calculated from wind speed and wind direction"
64,"64_0","Physical","Bottom_visible","0/1","1",NA
64,"64_0","Physical","Water_clarity","m",NA,NA
64,"64_0","Physical","Depth_10m","m","0.5",NA
64,"64_0","Physical","Slope","degrees","0.05","Calculated from depth"
64,"64_0","Physical","Riparian_vegetation","%","50",NA
64,"64_0","Physical","Riparian_species",NA,"Willow",NA
64,"64_0","Physical","Overhanging_trees","%","50",NA
64,"64_0","Physical","Erosion","%","0",NA
64,"64_0","Physical","Structure","0/1","0",NA
64,"64_0","Physical","Bedrock","%","0",NA
64,"64_0","Physical","Boulders","%","0",NA
64,"64_0","Physical","Cobble","%","0",NA
64,"64_0","Physical","Gravel","%","0",NA
64,"64_0","Physical","Sand","%","100",NA
64,"64_0","Physical","Mud","%","0",NA
64,"64_0","Physical","Organic_matter","%","0",NA
64,"64_0","Physical","Rock_size","mm",NA,NA
64,"64_0","Chemical","Temperature","Degree C","21.8",NA
64,"64_0","Chemical","DO_mgl","mg/l","8",NA
64,"64_0","Chemical","DO_percent","%","91",NA
64,"64_0","Chemical","Conductivity","µS/cm","145.69999999999999",NA
64,"64_0","Chemical","Specific_conductivity","µS/cm","156.19639794168094",NA
64,"64_0","Chemical","pH",NA,"7.04",NA
64,"64_0","Habitat","Vegetation_nearby","0/1","0",NA
64,"64_0","Habitat","Vegetation_species",NA,NA,NA
64,"64_0","Habitat","Wood_cover","%","3",NA
64,"64_0","Habitat","Other",NA,NA,NA
65,"65_0","Physical","Shear_stress","m/s, degrees",NA,"need to be calculated from wind speed and wind direction"
65,"65_0","Physical","Bottom_visible","0/1","1",NA
65,"65_0","Physical","Water_clarity","m",NA,NA
65,"65_0","Physical","Depth_10m","m","0.4",NA
65,"65_0","Physical","Slope","degrees","0.04","Calculated from depth"
65,"65_0","Physical","Riparian_vegetation","%","100",NA
65,"65_0","Physical","Riparian_species",NA,"Willow",NA
65,"65_0","Physical","Overhanging_trees","%","100",NA
65,"65_0","Physical","Erosion","%","0",NA
65,"65_0","Physical","Structure","0/1","0",NA
65,"65_0","Physical","Bedrock","%","10",NA
65,"65_0","Physical","Boulders","%","0",NA
65,"65_0","Physical","Cobble","%","0",NA
65,"65_0","Physical","Gravel","%","0",NA
65,"65_0","Physical","Sand","%","90",NA
65,"65_0","Physical","Mud","%","0",NA
65,"65_0","Physical","Organic_matter","%","0",NA
65,"65_0","Physical","Rock_size","mm",NA,NA
65,"65_0","Chemical","Temperature","Degree C","23.9",NA
65,"65_0","Chemical","DO_mgl","mg/l","9.9",NA
65,"65_0","Chemical","DO_percent","%","117.6",NA
65,"65_0","Chemical","Conductivity","µS/cm","169.6",NA
65,"65_0","Chemical","Specific_conductivity","µS/cm","173.61040024567509",NA
65,"65_0","Chemical","pH",NA,"7.02",NA
65,"65_0","Habitat","Vegetation_nearby","0/1","0",NA
65,"65_0","Habitat","Vegetation_species",NA,NA,NA
65,"65_0","Habitat","Wood_cover","%","20",NA
65,"65_0","Habitat","Other",NA,NA,NA
66,"66_0","Physical","Shear_stress","m/s, degrees",NA,"need to be calculated from wind speed and wind direction"
66,"66_0","Physical","Bottom_visible","0/1","1",NA
66,"66_0","Physical","Water_clarity","m",NA,NA
66,"66_0","Physical","Depth_10m","m","0.6",NA
66,"66_0","Physical","Slope","degrees","0.06","Calculated from depth"
66,"66_0","Physical","Riparian_vegetation","%","100",NA
66,"66_0","Physical","Riparian_species",NA,"Native forest",NA
66,"66_0","Physical","Overhanging_trees","%","0",NA
66,"66_0","Physical","Erosion","%","0",NA
66,"66_0","Physical","Structure","0/1","0",NA
66,"66_0","Physical","Bedrock","%","60",NA
66,"66_0","Physical","Boulders","%","0",NA
66,"66_0","Physical","Cobble","%","10",NA
66,"66_0","Physical","Gravel","%","0",NA
66,"66_0","Physical","Sand","%","30",NA
66,"66_0","Physical","Mud","%","0",NA
66,"66_0","Physical","Organic_matter","%","0",NA
66,"66_0","Physical","Rock_size","mm",NA,NA
66,"66_0","Chemical","Temperature","Degree C","24",NA
66,"66_0","Chemical","DO_mgl","mg/l","11.05",NA
66,"66_0","Chemical","DO_percent","%","131.9",NA
66,"66_0","Chemical","Conductivity","µS/cm","215.2",NA
66,"66_0","Chemical","Specific_conductivity","µS/cm","219.81613891726249",NA
66,"66_0","Chemical","pH",NA,"7.69",NA
66,"66_0","Habitat","Vegetation_nearby","0/1","1",NA
66,"66_0","Habitat","Vegetation_species",NA,"Lagarosiphon",NA
66,"66_0","Habitat","Wood_cover","%","0",NA
66,"66_0","Habitat","Other",NA,NA,NA
67,"67_0","Physical","Shear_stress","m/s, degrees",NA,"need to be calculated from wind speed and wind direction"
67,"67_0","Physical","Bottom_visible","0/1","1",NA
67,"67_0","Physical","Water_clarity","m",NA,NA
67,"67_0","Physical","Depth_10m","m","0.5",NA
67,"67_0","Physical","Slope","degrees","0.05","Calculated from depth"
67,"67_0","Physical","Riparian_vegetation","%","0",NA
67,"67_0","Physical","Riparian_species",NA,NA,NA
67,"67_0","Physical","Overhanging_trees","%","0",NA
67,"67_0","Physical","Erosion","%","0",NA
67,"67_0","Physical","Structure","0/1","0",NA
67,"67_0","Physical","Bedrock","%","0",NA
67,"67_0","Physical","Boulders","%","0",NA
67,"67_0","Physical","Cobble","%","0",NA
67,"67_0","Physical","Gravel","%","0",NA
67,"67_0","Physical","Sand","%","100",NA
67,"67_0","Physical","Mud","%","0",NA
67,"67_0","Physical","Organic_matter","%","0",NA
67,"67_0","Physical","Rock_size","mm",NA,NA
67,"67_0","Chemical","Temperature","Degree C","23.1",NA
67,"67_0","Chemical","DO_mgl","mg/l","10.25",NA
67,"67_0","Chemical","DO_percent","%","120.3",NA
67,"67_0","Chemical","Conductivity","µS/cm","157.1",NA
67,"67_0","Chemical","Specific_conductivity","µS/cm","163.62878866784709",NA
67,"67_0","Chemical","pH",NA,"7.51",NA
67,"67_0","Habitat","Vegetation_nearby","0/1","0",NA
67,"67_0","Habitat","Vegetation_species",NA,NA,NA
67,"67_0","Habitat","Wood_cover","%","0",NA
67,"67_0","Habitat","Other",NA,NA,NA
68,"68_0","Physical","Shear_stress","m/s, degrees",NA,"need to be calculated from wind speed and wind direction"
68,"68_0","Physical","Bottom_visible","0/1","1",NA
68,"68_0","Physical","Water_clarity","m",NA,NA
68,"68_0","Physical","Depth_10m","m","0.6",NA
68,"68_0","Physical","Slope","degrees","0.06","Calculated from depth"
68,"68_0","Physical","Riparian_vegetation","%","100",NA
68,"68_0","Physical","Riparian_species",NA,"els",NA
68,"68_0","Physical","Overhanging_trees","%","100",NA
68,"68_0","Physical","Erosion","%","0",NA
68,"68_0","Physical","Structure","0/1","0",NA
68,"68_0","Physical","Bedrock","%","0",NA
68,"68_0","Physical","Boulders","%","40",NA
68,"68_0","Physical","Cobble","%","0",NA
68,"68_0","Physical","Gravel","%","0",NA
68,"68_0","Physical","Sand","%","60",NA
68,"68_0","Physical","Mud","%","0",NA
68,"68_0","Physical","Organic_matter","%","0",NA
68,"68_0","Physical","Rock_size","mm",NA,NA
68,"68_0","Chemical","Temperature","Degree C","23.4",NA
68,"68_0","Chemical","DO_mgl","mg/l","9.83",NA
68,"68_0","Chemical","DO_percent","%","115.3",NA
68,"68_0","Chemical","Conductivity","µS/cm","185.2",NA
68,"68_0","Chemical","Specific_conductivity","µS/cm","191.63907284768212",NA
68,"68_0","Chemical","pH",NA,"7.49",NA
68,"68_0","Habitat","Vegetation_nearby","0/1","0",NA
68,"68_0","Habitat","Vegetation_species",NA,NA,NA
68,"68_0","Habitat","Wood_cover","%","0",NA
68,"68_0","Habitat","Other",NA,NA,NA
69,"69_0","Physical","Shear_stress","m/s, degrees",NA,"need to be calculated from wind speed and wind direction"
69,"69_0","Physical","Bottom_visible","0/1","1",NA
69,"69_0","Physical","Water_clarity","m",NA,NA
69,"69_0","Physical","Depth_10m","m","0.45",NA
69,"69_0","Physical","Slope","degrees","4.4999999999999998E-2","Calculated from depth"
69,"69_0","Physical","Riparian_vegetation","%","0",NA
69,"69_0","Physical","Riparian_species",NA,NA,NA
69,"69_0","Physical","Overhanging_trees","%","0",NA
69,"69_0","Physical","Erosion","%","0",NA
69,"69_0","Physical","Structure","0/1","0",NA
69,"69_0","Physical","Bedrock","%","10",NA
69,"69_0","Physical","Boulders","%","0",NA
69,"69_0","Physical","Cobble","%","0",NA
69,"69_0","Physical","Gravel","%","0",NA
69,"69_0","Physical","Sand","%","90",NA
69,"69_0","Physical","Mud","%","0",NA
69,"69_0","Physical","Organic_matter","%","0",NA
69,"69_0","Physical","Rock_size","mm",NA,NA
69,"69_0","Chemical","Temperature","Degree C","23.4",NA
69,"69_0","Chemical","DO_mgl","mg/l","7.82",NA
69,"69_0","Chemical","DO_percent","%","91.8",NA
69,"69_0","Chemical","Conductivity","µS/cm","188.6",NA
69,"69_0","Chemical","Specific_conductivity","µS/cm","195.15728476821192",NA
69,"69_0","Chemical","pH",NA,"7",NA
69,"69_0","Habitat","Vegetation_nearby","0/1","0",NA
69,"69_0","Habitat","Vegetation_species",NA,NA,NA
69,"69_0","Habitat","Wood_cover","%","10",NA
69,"69_0","Habitat","Other",NA,NA,NA
70,"70_0","Physical","Shear_stress","m/s, degrees",NA,"need to be calculated from wind speed and wind direction"
70,"70_0","Physical","Bottom_visible","0/1","1",NA
70,"70_0","Physical","Water_clarity","m",NA,NA
70,"70_0","Physical","Depth_10m","m","0.5",NA
70,"70_0","Physical","Slope","degrees","0.05","Calculated from depth"
70,"70_0","Physical","Riparian_vegetation","%","100",NA
70,"70_0","Physical","Riparian_species",NA,"Native forest",NA
70,"70_0","Physical","Overhanging_trees","%","0",NA
70,"70_0","Physical","Erosion","%","0",NA
70,"70_0","Physical","Structure","0/1","0",NA
70,"70_0","Physical","Bedrock","%","0",NA
70,"70_0","Physical","Boulders","%","5",NA
70,"70_0","Physical","Cobble","%","0",NA
70,"70_0","Physical","Gravel","%","0",NA
70,"70_0","Physical","Sand","%","95",NA
70,"70_0","Physical","Mud","%","0",NA
70,"70_0","Physical","Organic_matter","%","0",NA
70,"70_0","Physical","Rock_size","mm",NA,NA
70,"70_0","Chemical","Temperature","Degree C","22.4",NA
70,"70_0","Chemical","DO_mgl","mg/l","7.25",NA
70,"70_0","Chemical","DO_percent","%","83.5",NA
70,"70_0","Chemical","Conductivity","µS/cm","174.8",NA
70,"70_0","Chemical","Specific_conductivity","µS/cm","184.89528242013964",NA
70,"70_0","Chemical","pH",NA,"7.04",NA
70,"70_0","Habitat","Vegetation_nearby","0/1","0",NA
70,"70_0","Habitat","Vegetation_species",NA,NA,NA
70,"70_0","Habitat","Wood_cover","%","0",NA
70,"70_0","Habitat","Other",NA,NA,NA
71,"71_0","Physical","Shear_stress","m/s, degrees",NA,"need to be calculated from wind speed and wind direction"
71,"71_0","Physical","Bottom_visible","0/1","1",NA
71,"71_0","Physical","Water_clarity","m",NA,NA
71,"71_0","Physical","Depth_10m","m","0.5",NA
71,"71_0","Physical","Slope","degrees","0.05","Calculated from depth"
71,"71_0","Physical","Riparian_vegetation","%","100",NA
71,"71_0","Physical","Riparian_species",NA,"Willow",NA
71,"71_0","Physical","Overhanging_trees","%","100",NA
71,"71_0","Physical","Erosion","%","0",NA
71,"71_0","Physical","Structure","0/1","0",NA
71,"71_0","Physical","Bedrock","%","0",NA
71,"71_0","Physical","Boulders","%","0",NA
71,"71_0","Physical","Cobble","%","0",NA
71,"71_0","Physical","Gravel","%","0",NA
71,"71_0","Physical","Sand","%","100",NA
71,"71_0","Physical","Mud","%","0",NA
71,"71_0","Physical","Organic_matter","%","0",NA
71,"71_0","Physical","Rock_size","mm",NA,NA
71,"71_0","Chemical","Temperature","Degree C","21.8",NA
71,"71_0","Chemical","DO_mgl","mg/l","7.61",NA
71,"71_0","Chemical","DO_percent","%","86.8",NA
71,"71_0","Chemical","Conductivity","µS/cm","149.1",NA
71,"71_0","Chemical","Specific_conductivity","µS/cm","159.84133790737565",NA
71,"71_0","Chemical","pH",NA,"7.51",NA
71,"71_0","Habitat","Vegetation_nearby","0/1","0",NA
71,"71_0","Habitat","Vegetation_species",NA,NA,NA
71,"71_0","Habitat","Wood_cover","%","30",NA
71,"71_0","Habitat","Other",NA,NA,NA
72,"72_0","Physical","Shear_stress","m/s, degrees",NA,"need to be calculated from wind speed and wind direction"
72,"72_0","Physical","Bottom_visible","0/1","1",NA
72,"72_0","Physical","Water_clarity","m",NA,NA
72,"72_0","Physical","Depth_10m","m","0.5",NA
72,"72_0","Physical","Slope","degrees","0.05","Calculated from depth"
72,"72_0","Physical","Riparian_vegetation","%","10",NA
72,"72_0","Physical","Riparian_species",NA,"Willow",NA
72,"72_0","Physical","Overhanging_trees","%","10",NA
72,"72_0","Physical","Erosion","%","0",NA
72,"72_0","Physical","Structure","0/1","0",NA
72,"72_0","Physical","Bedrock","%","0",NA
72,"72_0","Physical","Boulders","%","0",NA
72,"72_0","Physical","Cobble","%","0",NA
72,"72_0","Physical","Gravel","%","0",NA
72,"72_0","Physical","Sand","%","100",NA
72,"72_0","Physical","Mud","%","0",NA
72,"72_0","Physical","Organic_matter","%","0",NA
72,"72_0","Physical","Rock_size","mm",NA,NA
72,"72_0","Chemical","Temperature","Degree C","23.4",NA
72,"72_0","Chemical","DO_mgl","mg/l","10.19",NA
72,"72_0","Chemical","DO_percent","%","119.6",NA
72,"72_0","Chemical","Conductivity","µS/cm","176.7",NA
72,"72_0","Chemical","Specific_conductivity","µS/cm","182.84354304635761",NA
72,"72_0","Chemical","pH",NA,"7.19",NA
72,"72_0","Habitat","Vegetation_nearby","0/1","0",NA
72,"72_0","Habitat","Vegetation_species",NA,NA,NA
72,"72_0","Habitat","Wood_cover","%","4",NA
72,"72_0","Habitat","Other",NA,NA,NA
73,"73_0","Physical","Shear_stress","m/s, degrees",NA,"need to be calculated from wind speed and wind direction"
73,"73_0","Physical","Bottom_visible","0/1","1",NA
73,"73_0","Physical","Water_clarity","m",NA,NA
73,"73_0","Physical","Depth_10m","m","0.75",NA
73,"73_0","Physical","Slope","degrees","7.4999999999999997E-2","Calculated from depth"
73,"73_0","Physical","Riparian_vegetation","%","100",NA
73,"73_0","Physical","Riparian_species",NA,"Native forest",NA
73,"73_0","Physical","Overhanging_trees","%","0",NA
73,"73_0","Physical","Erosion","%","0",NA
73,"73_0","Physical","Structure","0/1","0",NA
73,"73_0","Physical","Bedrock","%","0",NA
73,"73_0","Physical","Boulders","%","0",NA
73,"73_0","Physical","Cobble","%","70",NA
73,"73_0","Physical","Gravel","%","10",NA
73,"73_0","Physical","Sand","%","20",NA
73,"73_0","Physical","Mud","%","0",NA
73,"73_0","Physical","Organic_matter","%","0",NA
73,"73_0","Physical","Rock_size","mm","10.505000000000001",NA
73,"73_0","Chemical","Temperature","Degree C","20.7",NA
73,"73_0","Chemical","DO_mgl","mg/l","10.42",NA
73,"73_0","Chemical","DO_percent","%","116.1",NA
73,"73_0","Chemical","Conductivity","µS/cm","144",NA
73,"73_0","Chemical","Specific_conductivity","µS/cm","158.29394305815106",NA
73,"73_0","Chemical","pH",NA,"9.01",NA
73,"73_0","Habitat","Vegetation_nearby","0/1","1",NA
73,"73_0","Habitat","Vegetation_species",NA,"Hornwort",NA
73,"73_0","Habitat","Wood_cover","%","1",NA
73,"73_0","Habitat","Other",NA,NA,NA
74,"74_0","Physical","Shear_stress","m/s, degrees",NA,"need to be calculated from wind speed and wind direction"
74,"74_0","Physical","Bottom_visible","0/1","1",NA
74,"74_0","Physical","Water_clarity","m",NA,NA
74,"74_0","Physical","Depth_10m","m","0.7",NA
74,"74_0","Physical","Slope","degrees","6.9999999999999993E-2","Calculated from depth"
74,"74_0","Physical","Riparian_vegetation","%","100",NA
74,"74_0","Physical","Riparian_species",NA,"Native forest",NA
74,"74_0","Physical","Overhanging_trees","%","100",NA
74,"74_0","Physical","Erosion","%","0",NA
74,"74_0","Physical","Structure","0/1","0",NA
74,"74_0","Physical","Bedrock","%","0",NA
74,"74_0","Physical","Boulders","%","10",NA
74,"74_0","Physical","Cobble","%","0",NA
74,"74_0","Physical","Gravel","%","0",NA
74,"74_0","Physical","Sand","%","90",NA
74,"74_0","Physical","Mud","%","0",NA
74,"74_0","Physical","Organic_matter","%","0",NA
74,"74_0","Physical","Rock_size","mm",NA,NA
74,"74_0","Chemical","Temperature","Degree C","21.5",NA
74,"74_0","Chemical","DO_mgl","mg/l","9.89",NA
74,"74_0","Chemical","DO_percent","%","112.1",NA
74,"74_0","Chemical","Conductivity","µS/cm","146.9",NA
74,"74_0","Chemical","Specific_conductivity","µS/cm","158.55369670804103",NA
74,"74_0","Chemical","pH",NA,"9.02",NA
74,"74_0","Habitat","Vegetation_nearby","0/1","0",NA
74,"74_0","Habitat","Vegetation_species",NA,NA,NA
74,"74_0","Habitat","Wood_cover","%","0",NA
74,"74_0","Habitat","Other",NA,NA,NA
75,"75_0","Physical","Shear_stress","m/s, degrees",NA,"need to be calculated from wind speed and wind direction"
75,"75_0","Physical","Bottom_visible","0/1","0",NA
75,"75_0","Physical","Water_clarity","m","3.5","Secci"
75,"75_0","Physical","Depth_10m","m","8",NA
75,"75_0","Physical","Slope","degrees","0.8","Calculated from depth"
75,"75_0","Physical","Riparian_vegetation","%","100",NA
75,"75_0","Physical","Riparian_species",NA,"Native forest",NA
75,"75_0","Physical","Overhanging_trees","%","100",NA
75,"75_0","Physical","Erosion","%","0",NA
75,"75_0","Physical","Structure","0/1","0",NA
75,"75_0","Physical","Bedrock","%","100",NA
75,"75_0","Physical","Boulders","%","0",NA
75,"75_0","Physical","Cobble","%","0",NA
75,"75_0","Physical","Gravel","%","0",NA
75,"75_0","Physical","Sand","%","0",NA
75,"75_0","Physical","Mud","%","0",NA
75,"75_0","Physical","Organic_matter","%","0",NA
75,"75_0","Physical","Rock_size","mm",NA,NA
75,"75_0","Chemical","Temperature","Degree C","22.3",NA
75,"75_0","Chemical","DO_mgl","mg/l","9.74",NA
75,"75_0","Chemical","DO_percent","%","111.6",NA
75,"75_0","Chemical","Conductivity","µS/cm","153.4",NA
75,"75_0","Chemical","Specific_conductivity","µS/cm","162.6205872999046",NA
75,"75_0","Chemical","pH",NA,"8.08",NA
75,"75_0","Habitat","Vegetation_nearby","0/1","0",NA
75,"75_0","Habitat","Vegetation_species",NA,NA,NA
75,"75_0","Habitat","Wood_cover","%","2",NA
75,"75_0","Habitat","Other",NA,NA,NA
76,"76_0","Physical","Shear_stress","m/s, degrees",NA,"need to be calculated from wind speed and wind direction"
76,"76_0","Physical","Bottom_visible","0/1","1",NA
76,"76_0","Physical","Water_clarity","m",NA,NA
76,"76_0","Physical","Depth_10m","m","0.6",NA
76,"76_0","Physical","Slope","degrees","0.06","Calculated from depth"
76,"76_0","Physical","Riparian_vegetation","%","100",NA
76,"76_0","Physical","Riparian_species",NA,"Bushes",NA
76,"76_0","Physical","Overhanging_trees","%","30",NA
76,"76_0","Physical","Erosion","%","0",NA
76,"76_0","Physical","Structure","0/1","0",NA
76,"76_0","Physical","Bedrock","%","0",NA
76,"76_0","Physical","Boulders","%","0",NA
76,"76_0","Physical","Cobble","%","0",NA
76,"76_0","Physical","Gravel","%","0",NA
76,"76_0","Physical","Sand","%","100",NA
76,"76_0","Physical","Mud","%","0",NA
76,"76_0","Physical","Organic_matter","%","0",NA
76,"76_0","Physical","Rock_size","mm",NA,NA
76,"76_0","Chemical","Temperature","Degree C","21.5",NA
76,"76_0","Chemical","DO_mgl","mg/l","6.8",NA
76,"76_0","Chemical","DO_percent","%","77.3",NA
76,"76_0","Chemical","Conductivity","µS/cm","181.6",NA
76,"76_0","Chemical","Specific_conductivity","µS/cm","196.00647598488936",NA
76,"76_0","Chemical","pH",NA,"8.24",NA
76,"76_0","Habitat","Vegetation_nearby","0/1","0",NA
76,"76_0","Habitat","Vegetation_species",NA,NA,NA
