"Site_ID","Lake","LID","Monitoring_ID","Lat","Lon","Site_size","DHT","Date_Time","Weather","Lake_water_clarity_m","Sediment_sample","Macrophyte_sample","Distance_5m","Distance_20m","Distance_deep","Calculated_slope","Notes","Size_m2","Perimter_m","Size_km2","Perimter_km","Catchment_size_km2","Mean_depth_m","Max_depth_m","Volume_km3","Elevation_m","Mixing","TLI","Trophic_state","LakeSPI"
61,"Rotorua",11133,"61_0",-38.13512,176.2744,NA,"Sandy",2025-02-20 13:50:00,"Sunny",3.4,1,1,675.544467742378,1005.27744611391,663.554783619257,0.00753517286504706,"Close to geotehermal and has cold water spring",80632851.4203681,45495.9650385472,80.6328514203681,45.4959650385472,508,11,45,0.802,280,"Polymictic",4.2,"Eutrophic",22.4
62,"Rotorua",11133,"62_0",-38.08189,176.2798,NA,"Rocky",2025-02-20 11:45:00,"Sunny",3.4,1,0,107.152203579757,407.913942363974,104.987389019756,0.0476247675714568,NA,80632851.4203681,45495.9650385472,80.6328514203681,45.4959650385472,508,11,45,0.802,280,"Polymictic",4.2,"Eutrophic",22.4
63,"Rotorua",11133,"63_0",-38.03755,176.3071,NA,"Sandy",2025-02-20 11:00:00,"Sunny",3.4,1,1,335.663354943525,1173.15686417623,333.12002096304,0.0150096052033893,"Big rocks around",80632851.4203681,45495.9650385472,80.6328514203681,45.4959650385472,508,11,45,0.802,280,"Polymictic",4.2,"Eutrophic",22.4
64,"Rotorua",11133,"64_0",-38.03521,176.2489,NA,"Sandy",2025-02-20 10:00:00,"Cloudy",3.4,1,1,881.755858102286,4169.54573003321,881.75332127199,0.0056705201776696,"weeds washed to shore",80632851.4203681,45495.9650385472,80.6328514203681,45.4959650385472,508,11,45,0.802,280,"Polymictic",4.2,"Eutrophic",22.4
65,"Rotorua",11133,"65_0",-38.10975,176.2401,NA,"Sandy",2025-02-20 14:20:00,"Sunny",3.4,1,1,798.407848020856,2402.91237199327,797.286203279315,0.00627127370251049,NA,80632851.4203681,45495.9650385472,80.6328514203681,45.4959650385472,508,11,45,0.802,280,"Polymictic",4.2,"Eutrophic",22.4
66,"Rotorua",11133,"66_0",-38.08148,176.2956,NA,"Rocky",2025-02-20 12:15:00,"Sunny",3.4,1,1,30.9029838843823,1662.55932860984,30.5623995446806,0.163599719737001,NA,80632851.4203681,45495.9650385472,80.6328514203681,45.4959650385472,508,11,45,0.802,280,"Polymictic",4.2,"Eutrophic",22.4
67,"Rotorua",11133,"67_0",-38.08288,176.2185,NA,"Sandy",2025-02-20 15:00:00,"Sunny",3.4,1,1,529.912991610287,3907.56729122595,525.663116324665,0.00951179537753958,"close to river mouth nets a little distance from the shore",80632851.4203681,45495.9650385472,80.6328514203681,45.4959650385472,508,11,45,0.802,280,"Polymictic",4.2,"Eutrophic",22.4
68,"Rotorua",11133,"68_0",-38.12141,176.2892,NA,"Rocky",2025-02-20 13:00:00,"Sunny",3.4,1,1,542.819885740034,1760.11424159876,540.424301748185,0.00925198956417358,NA,80632851.4203681,45495.9650385472,80.6328514203681,45.4959650385472,508,11,45,0.802,280,"Polymictic",4.2,"Eutrophic",22.4
69,"Rotorua",11133,"69_0",-38.07818,176.3224,NA,"Sandy",2025-02-20 12:30:00,"Cloudy",3.4,1,1,612.831581113842,3408.42117385179,607.964205515417,0.00822416838794173,"Solid clay parts",80632851.4203681,45495.9650385472,80.6328514203681,45.4959650385472,508,11,45,0.802,280,"Polymictic",4.2,"Eutrophic",22.4
70,"Rotorua",11133,"70_0",-38.03394,176.2726,NA,"Sandy",2025-02-20 10:45:00,"Sunny",3.4,1,1,832.450910949518,3362.64448530982,832.390827925049,0.00600679372268409,"Next to rocky habitat",80632851.4203681,45495.9650385472,80.6328514203681,45.4959650385472,508,11,45,0.802,280,"Polymictic",4.2,"Eutrophic",22.4
71,"Rotorua",11133,"71_0",-38.03695,176.2407,NA,"Sandy",2025-02-20 09:42:00,"Sunny",3.4,1,1,700.069250211094,4451.62589357694,699.19990193821,0.00715103075120549,NA,80632851.4203681,45495.9650385472,80.6328514203681,45.4959650385472,508,11,45,0.802,280,"Polymictic",4.2,"Eutrophic",22.4
72,"Rotorua",11133,"72_0",-38.12632,176.2862,NA,"Sandy",2025-02-20 13:30:00,"Sunny",3.4,1,1,555.806656737179,1510.68334744727,549.720730064047,0.0090955274679517,NA,80632851.4203681,45495.9650385472,80.6328514203681,45.4959650385472,508,11,45,0.802,280,"Polymictic",4.2,"Eutrophic",22.4
73,"Rotoiti",54730,"73_0",-38.01677,176.421,NA,"Rocky",2025-01-16 13:05:00,"Cloudy",3.5,1,1,142.695643156613,187.90193049333,187.539175274033,0.106644384943977,NA,33805828.9569732,60736.7219804458,33.8058289569732,60.7367219804458,123.7,31.5,124,1.042,279,"Stratified",4.1,"Eutrophic",24.8
74,"Rotoiti",54730,"74_0",-38.05556,176.4599,NA,"Sandy",2025-01-16 14:09:00,"Rain",3.5,1,1,42.5585645107225,120.762133732937,120.328662180719,0.166211438218788,"1 fyke little loose",33805828.9569732,60736.7219804458,33.8058289569732,60.7367219804458,123.7,31.5,124,1.042,279,"Stratified",4.1,"Eutrophic",24.8
75,"Rotoiti",54730,"75_0",-38.03939,176.3589,NA,"Rocky",2025-01-15 11:15:00,"Sunny",3.5,0,0,46.7677196892938,127.574766026363,127.470750970965,0.156898738319629,"Badrock and to deep",33805828.9569732,60736.7219804458,33.8058289569732,60.7367219804458,123.7,31.5,124,1.042,279,"Stratified",4.1,"Eutrophic",24.8
76,"Rotoiti",54730,"76_0",-38.03097,176.3427,NA,"Sandy",2025-01-15 10:00:00,"Sunny",3.5,1,1,76.2907215469976,1089.87830649679,1089.20462436359,0.0183620226655627,"Kakahi a lot",33805828.9569732,60736.7219804458,33.8058289569732,60.7367219804458,123.7,31.5,124,1.042,279,"Stratified",4.1,"Eutrophic",24.8
77,"Rotoiti",54730,"77_0",-38.0251180435452,176.463774952595,NA,"Rocky",2025-01-16 13:30:00,"Rain",3.5,0,0,69.8757860966601,108.311478633236,107.901207823091,0.185354737018245,"Too deep",33805828.9569732,60736.7219804458,33.8058289569732,60.7367219804458,123.7,31.5,124,1.042,279,"Stratified",4.1,"Eutrophic",24.8
78,"Rotoiti",54730,"78_0",-38.04199,176.3709,NA,"Sandy",2025-01-15 12:30:00,"Sunny",3.5,1,1,134.630729995109,367.646537523441,365.236397766362,0.0547590550183714,"Kakahi",33805828.9569732,60736.7219804458,33.8058289569732,60.7367219804458,123.7,31.5,124,1.042,279,"Stratified",4.1,"Eutrophic",24.8
79,"Rotoiti",54730,"79_0",-38.0126473390111,176.369793141525,NA,"Emergent Macrophyte",2025-01-16 12:17:00,"Little Rain",3.5,1,1,109.038802370766,1088.63526201911,1087.1160731861,0.0183972995095035,"Re located a little",33805828.9569732,60736.7219804458,33.8058289569732,60.7367219804458,123.7,31.5,124,1.042,279,"Stratified",4.1,"Eutrophic",24.8
80,"Rotoiti",54730,"80_0",-38.0328958552285,176.352020200434,NA,"Emergent Macrophyte",2025-01-15 10:50:00,"Sunny",3,1,1,76.2622537040705,473.881552906032,471.962074330421,0.042376286332698,"Re located a little",33805828.9569732,60736.7219804458,33.8058289569732,60.7367219804458,123.7,31.5,124,1.042,279,"Stratified",4.1,"Eutrophic",24.8
81,"Rotoiti",54730,"81_0",-38.05074,176.4181,NA,"Sandy",2025-01-16 14:52:00,"Rain",3.5,1,1,31.7269199784361,201.736500112727,174.996338543086,0.11428810549128,"Kakahi",33805828.9569732,60736.7219804458,33.8058289569732,60.7367219804458,123.7,31.5,124,1.042,279,"Stratified",4.1,"Eutrophic",24.8
82,"Rotoiti",54730,"82_0",-38.04471,176.3388,NA,"Sandy",2025-01-15 10:20:00,"Sunny",3.5,1,1,81.1704431379574,1367.54466670901,1366.67904264963,0.0146340138217275,"Kakahi",33805828.9569732,60736.7219804458,33.8058289569732,60.7367219804458,123.7,31.5,124,1.042,279,"Stratified",4.1,"Eutrophic",24.8
83,"Rotoiti",54730,"83_0",-38.01494,176.3882,NA,"Rocky",2025-01-16 12:40:00,"Rain",3.5,1,1,16.5017772484988,56.6721201555145,56.312002703404,0.355164068757068,"Little cliff",33805828.9569732,60736.7219804458,33.8058289569732,60.7367219804458,123.7,31.5,124,1.042,279,"Stratified",4.1,"Eutrophic",24.8
