"Site_ID","Monitoring_ID","Weed_Type","Species","Scientific_name","Native_Status","Percentage_Cover"
61,"61_0","Emergent",NA,NA,NA,0
61,"61_0","Submerged",NA,NA,NA,0
61,"61_0","Turf",NA,NA,NA,0
62,"62_0","Emergent",NA,NA,NA,0
62,"62_0","Submerged",NA,NA,NA,0
62,"62_0","Turf",NA,NA,NA,0
63,"63_0","Emergent",NA,NA,NA,0
63,"63_0","Submerged",NA,NA,NA,0
63,"63_0","Turf",NA,NA,NA,0
64,"64_0","Emergent",NA,NA,NA,0
64,"64_0","Submerged",NA,NA,NA,0
64,"64_0","Turf",NA,NA,NA,0
65,"65_0","Emergent",NA,NA,NA,0
65,"65_0","Submerged","Green_algae","Algea","Native",10
65,"65_0","Turf",NA,NA,NA,0
66,"66_0","Emergent",NA,NA,NA,0
66,"66_0","Submerged",NA,NA,NA,0
66,"66_0","Turf",NA,NA,NA,0
67,"67_0","Emergent",NA,NA,NA,0
67,"67_0","Submerged",NA,NA,NA,0
67,"67_0","Turf",NA,NA,NA,0
68,"68_0","Emergent",NA,NA,NA,0
68,"68_0","Submerged",NA,NA,NA,0
68,"68_0","Turf",NA,NA,NA,0
69,"69_0","Emergent",NA,NA,NA,0
69,"69_0","Submerged",NA,NA,NA,0
69,"69_0","Turf","Turf_Gloss","Glossostigma","Native",30
70,"70_0","Emergent",NA,NA,NA,0
70,"70_0","Submerged",NA,NA,NA,0
70,"70_0","Turf",NA,NA,NA,0
71,"71_0","Emergent",NA,NA,NA,0
71,"71_0","Submerged",NA,NA,NA,0
71,"71_0","Turf",NA,NA,NA,0
72,"72_0","Emergent",NA,NA,NA,0
72,"72_0","Submerged",NA,NA,NA,0
72,"72_0","Turf",NA,NA,NA,0
73,"73_0","Emergent",NA,NA,NA,0
73,"73_0","Submerged",NA,NA,NA,0
73,"73_0","Turf",NA,NA,NA,0
74,"74_0","Emergent",NA,NA,NA,0
74,"74_0","Submerged",NA,NA,NA,0
74,"74_0","Turf","Turf_Gloss","Glossostigma","Native",10
75,"75_0","Emergent",NA,NA,NA,0
75,"75_0","Submerged",NA,NA,NA,0
75,"75_0","Turf",NA,NA,NA,0
76,"76_0","Emergent",NA,NA,NA,0
76,"76_0","Submerged",NA,NA,NA,0
76,"76_0","Turf","Turf_Gloss","Glossostigma","Native",10
77,"77_0","Emergent",NA,NA,NA,0
