Lake,Variable,n,Mean,Median,Min,Max,CI_low,CI_high
Rotorua,Substrate index,12,3.66,3.30,2.80,6.30,3.01,4.31
Rotoiti,Substrate index,12,3.92,3.20,2.00,8.00,2.73,5.11
Rotoehu,Substrate index,12,2.77,2.45,2.00,4.90,2.15,3.39
Rotom?,Substrate index,12,3.50,3.03,2.00,6.20,2.64,4.36
?k?reka,Substrate index,12,2.86,2.70,1.00,6.20,1.92,3.79
Rotorua,Slope 5m,12,0.02,0.01,0.01,0.16,0.00,0.05
Rotoiti,Slope 5m,12,0.09,0.07,0.04,0.30,0.04,0.14
Rotoehu,Slope 5m,12,0.08,0.06,0.02,0.27,0.03,0.12
Rotom?,Slope 5m,12,0.07,0.06,0.01,0.23,0.03,0.11
?k?reka,Slope 5m,12,0.11,0.13,0.01,0.20,0.07,0.15
Rotorua,Riparian vegetation,12,67.50,100.00,0.00,100.00,40.12,94.88
Rotoiti,Riparian vegetation,12,92.50,100.00,20.00,100.00,77.88,107.12
Rotoehu,Riparian vegetation,12,67.50,100.00,0.00,100.00,36.95,98.05
Rotom?,Riparian vegetation,12,63.33,90.00,0.00,100.00,35.13,91.53
?k?reka,Riparian vegetation,12,75.83,100.00,0.00,100.00,48.01,103.66
Rotorua,Overhanging trees,12,46.67,30.00,0.00,100.00,15.50,77.83
Rotoiti,Overhanging trees,12,54.17,65.00,0.00,100.00,23.22,85.11
Rotoehu,Overhanging trees,12,35.83,0.00,0.00,100.00,5.25,66.42
Rotom?,Overhanging trees,12,52.50,55.00,0.00,100.00,22.44,82.56
?k?reka,Overhanging trees,12,52.50,65.00,0.00,100.00,21.71,83.29
Rotorua,Wood cover,12,8.33,3.50,0.00,30.00,1.98,14.69
Rotoiti,Wood cover,12,4.25,1.50,0.00,20.00,0.31,8.19
Rotoehu,Wood cover,12,14.92,10.00,3.00,40.00,7.24,22.60
Rotom?,Wood cover,12,10.00,10.00,0.00,30.00,4.13,15.87
?k?reka,Wood cover,12,11.25,7.50,0.00,40.00,2.56,19.94
Rotorua,Emergent vegetation,12,0.00,0.00,0.00,0.00,0.00,0.00
Rotoiti,Emergent vegetation,12,9.50,0.00,0.00,100.00,-8.71,27.71
Rotoehu,Emergent vegetation,12,8.75,0.00,0.00,35.00,-0.74,18.24
Rotom?,Emergent vegetation,12,10.83,0.00,0.00,80.00,-4.78,26.45
?k?reka,Emergent vegetation,12,22.50,0.00,0.00,90.00,-0.35,45.35
Rotorua,Submerged vegetation,12,0.83,0.00,0.00,10.00,-1.00,2.67
Rotoiti,Submerged vegetation,12,0.83,0.00,0.00,10.00,-1.00,2.67
Rotoehu,Submerged vegetation,12,51.42,52.50,0.00,100.00,20.51,82.33
Rotom?,Submerged vegetation,12,21.67,10.00,0.00,85.00,2.21,41.12
?k?reka,Submerged vegetation,12,10.83,0.00,0.00,100.00,-7.43,29.10
Rotorua,Temperature,12,23.15,23.25,21.80,25.30,22.52,23.78
Rotoiti,Temperature,12,21.63,21.50,20.60,23.80,21.03,22.22
Rotoehu,Temperature,12,22.11,22.05,21.20,23.00,21.72,22.49
Rotom?,Temperature,12,17.02,16.85,16.30,18.10,16.64,17.39
?k?reka,Temperature,12,16.98,16.30,16.00,20.70,15.93,18.04
Rotorua,DO mgl,12,8.49,7.93,5.25,11.05,7.39,9.59
Rotoiti,DO mgl,12,9.59,9.76,6.80,10.64,8.92,10.25
Rotoehu,DO mgl,12,10.36,10.77,8.85,11.79,9.67,11.05
Rotom?,DO mgl,12,9.72,9.76,8.66,10.31,9.45,9.98
?k?reka,DO mgl,12,9.37,9.38,8.83,9.74,9.20,9.53
Rotorua,Specific conductivity,12,205.36,188.27,156.20,443.01,156.39,254.33
Rotoiti,Specific conductivity,12,163.11,158.70,155.79,196.01,156.22,170.00
Rotoehu,Specific conductivity,12,458.89,458.22,455.44,464.72,456.91,460.87
Rotom?,Specific conductivity,12,162.90,161.79,156.73,174.96,159.94,165.85
?k?reka,Specific conductivity,12,76.34,76.15,75.62,78.59,75.82,76.86
Rotorua,pH,12,6.94,7.04,3.78,7.69,6.29,7.60
Rotoiti,pH,12,8.67,8.73,8.08,9.02,8.46,8.87
Rotoehu,pH,12,8.83,8.91,8.46,9.21,8.68,8.99
Rotom?,pH,12,7.80,7.92,6.44,8.56,7.47,8.13
?k?reka,pH,12,8.33,8.29,7.77,9.00,8.15,8.50
Rotorua,Presence Catfish,12,0.08,0.00,0.00,1.00,-0.10,0.27
Rotoiti,Presence Catfish,12,0.42,0.00,0.00,1.00,0.09,0.74
Rotoehu,Presence Catfish,12,0.00,0.00,0.00,0.00,0.00,0.00
Rotom?,Presence Catfish,12,0.00,0.00,0.00,0.00,0.00,0.00
?k?reka,Presence Catfish,12,0.00,0.00,0.00,0.00,0.00,0.00
Rotorua,Presence Eel,12,0.33,0.00,0.00,1.00,0.02,0.65
Rotoiti,Presence Eel,12,0.08,0.00,0.00,1.00,-0.10,0.27
Rotoehu,Presence Eel,12,0.00,0.00,0.00,0.00,0.00,0.00
Rotom?,Presence Eel,12,0.25,0.00,0.00,1.00,-0.04,0.54
?k?reka,Presence Eel,12,0.00,0.00,0.00,0.00,0.00,0.00
Rotorua,Presence Goldfish,12,0.08,0.00,0.00,1.00,-0.10,0.27
Rotoiti,Presence Goldfish,12,0.67,1.00,0.00,1.00,0.35,0.98
Rotoehu,Presence Goldfish,12,1.00,1.00,1.00,1.00,1.00,1.00
Rotom?,Presence Goldfish,12,0.50,0.50,0.00,1.00,0.17,0.83
?k?reka,Presence Goldfish,12,0.25,0.00,0.00,1.00,-0.04,0.54
Rotorua,Presence Common smelt,12,0.25,0.00,0.00,1.00,-0.04,0.54
Rotoiti,Presence Common smelt,12,0.67,1.00,0.00,1.00,0.35,0.98
Rotoehu,Presence Common smelt,12,0.50,0.50,0.00,1.00,0.17,0.83
Rotom?,Presence Common smelt,12,0.42,0.00,0.00,1.00,0.09,0.74
?k?reka,Presence Common smelt,12,0.58,1.00,0.00,1.00,0.26,0.91
