"Lake","Var_type","Variable","n","Mean","Median","Min","Max","CI_low","CI_high"
"Rotorua","Env","DO_mgl",12,8.49083333333333,7.925,5.25,11.05,7.39379619461319,9.58787047205348
"Rotoiti","Env","DO_mgl",12,9.5875,9.755,6.8,10.64,8.9218728863871,10.2531271136129
"Rotoehu","Env","DO_mgl",12,10.3625,10.765,8.85,11.79,9.67293891953566,11.0520610804643
"Rotomā","Env","DO_mgl",12,9.71583333333333,9.76,8.66,10.31,9.45447439023266,9.97719227643401
"Ōkāreka","Env","DO_mgl",12,9.36583333333333,9.375,8.83,9.74,9.19674080095327,9.53492586571339
"Rotorua","Env","Emergent_vegetation",12,0,0,0,0,0,0
"Rotoiti","Env","Emergent_vegetation",12,9.5,0,0,100,-8.70732539719761,27.7073253971976
"Rotoehu","Env","Emergent_vegetation",12,8.75,0,0,35,-0.744376127069893,18.2443761270699
"Rotomā","Env","Emergent_vegetation",12,10.8333333333333,0,0,80,-4.77903132129926,26.4456979879659
"Ōkāreka","Env","Emergent_vegetation",12,22.5,0,0,90,-0.348425941419961,45.34842594142
"Rotorua","Env","Overhanging_trees",12,46.6666666666667,30,0,100,15.500759505668,77.8325738276653
"Rotoiti","Env","Overhanging_trees",12,54.1666666666667,65,0,100,23.2223383994442,85.1109949338892
"Rotoehu","Env","Overhanging_trees",12,35.8333333333333,0,0,100,5.24686991736703,66.4197967492996
"Rotomā","Env","Overhanging_trees",12,52.5,55,0,100,22.4379724575037,82.5620275424963
"Ōkāreka","Env","Overhanging_trees",12,52.5,65,0,100,21.7142091998181,83.2857908001819
"Rotorua","Env","Riparian_vegetation",12,67.5,100,0,100,40.1214034933829,94.8785965066171
"Rotoiti","Env","Riparian_vegetation",12,92.5,100,20,100,77.8789651045751,107.121034895425
"Rotoehu","Env","Riparian_vegetation",12,67.5,100,0,100,36.9535581430999,98.0464418569001
"Rotomā","Env","Riparian_vegetation",12,63.3333333333333,90,0,100,35.1348208147456,91.531845851921
"Ōkāreka","Env","Riparian_vegetation",12,75.8333333333333,100,0,100,48.0115093732693,103.655157293397
"Rotorua","Env","Slope_5m",12,0.024303292856202,0.00857739122783205,0.00567050386346284,0.161796673703308,-0.00412696395619951,0.0527335496686036
"Rotoiti","Env","Slope_5m",12,0.0926524251161651,0.0655510017538072,0.0350396122081481,0.302997666536485,0.044543331349403,0.140761518882927
"Rotoehu","Env","Slope_5m",12,0.0782040605048988,0.0605402963080073,0.0206312103893389,0.272258868530851,0.0323482912549566,0.124059829754841
"Rotomā","Env","Slope_5m",12,0.0739005872515811,0.0573815869709872,0.00614026846175231,0.225877564398719,0.0333696101400955,0.114431564363067
"Ōkāreka","Env","Slope_5m",12,0.112326519445632,0.12815284712292,0.0122312616650089,0.197640255239775,0.0728939278192795,0.151759111071985
"Rotorua","Env","Specific_conductivity",12,205.35971510319,188.267177633911,156.196397941681,443.009043028918,156.394220762228,254.325209444151
"Rotoiti","Env","Specific_conductivity",12,163.112140610573,158.698635756461,155.786026200873,196.006475984889,156.223303323077,170.000977898069
"Rotoehu","Env","Specific_conductivity",12,458.890099634169,458.2166702563,455.441392325435,464.72198820556,456.905920860457,460.87427840788
