"model","component","term","estimate","std_error","edf","ref_df","statistic","p_value","sig"
"Occupancy","parametric","(Intercept)",2.098,0.886,NA,NA,2.368,0.018,"*"
"Occupancy","parametric","Presence_Goldfish",-3.28,1.379,NA,NA,-2.379,0.017,"*"
"Occupancy","parametric","Presence_Catfish",4.222,1.718,NA,NA,2.458,0.014,"*"
"Occupancy","smooth","s(Riparian_vegetation)",NA,NA,0.849,6,3.965,0.026,"*"
"Occupancy","smooth","s(Substrate_index)",NA,NA,0.98,9,9.163,0.001,"**"
"Occupancy","smooth","s(Temperature)",NA,NA,1.161,9,13.049,0,"***"
"Occupancy","smooth","s(Specific_conductivity)",NA,NA,0.937,9,8.248,0.002,"**"
"Occupancy","smooth","s(LID)",NA,NA,0,4,0,0.622,""
"CPUE (pos)","parametric","(Intercept)",0.928,0.194,NA,NA,4.79,0,"***"
"CPUE (pos)","parametric","Presence_Common_smelt",-0.609,0.284,NA,NA,-2.145,0.041,"*"
"CPUE (pos)","smooth","s(Temperature)",NA,NA,0.823,9,0.561,0.019,"*"
"CPUE (pos)","smooth","s(pH)",NA,NA,1.02,9,2.085,0,"***"
"CPUE (pos)","smooth","s(Emergent_Native)",NA,NA,0.98,3,7.16,0,"***"
"CPUE (pos)","smooth","s(LID)",NA,NA,0,4,0,0.482,""
"BPUE (pos)","parametric","(Intercept)",3.702,0.169,NA,NA,21.943,0,"***"
"BPUE (pos)","smooth","s(pH)",NA,NA,0.967,9,1.238,0.002,"**"
"BPUE (pos)","smooth","s(Emergent_Native)",NA,NA,0.761,3,1.154,0.041,"*"
"BPUE (pos)","smooth","s(LID)",NA,NA,0,4,0,0.607,""
